,number,context,question,A,B,C,D,E,answer,context-images
15,164,"


O LIRAa, Levantamento Rápido do Índice de Infestação por Aedes aegypti, consiste num mapeamento da infestação do mosquito Aedes aegypti. O LIRAa é dado pelo percentual do número de imóveis com focos do mosquito, entre os escolhidos de uma região em avaliação.
O serviço de vigilância sanitária de um município, no mês de outubro do ano corrente, analisou o LIRAa de cinco bairros que apresentaram o maior índice de infestação no ano anterior. Os dados obtidos para cada bairro foram:
I. 14 imóveis com focos de mosquito em 400 imóveis no bairro;
II. 6 imóveis com focos de mosquito em 500 imóveis no bairro;
III. 13 imóveis com focos de mosquito em 520 imóveis no bairro;
IV. 9 imóveis com focos de mosquito em 360 imóveis no bairro;
V. 15 imóveis com focos de mosquito em 500 imóveis no bairro.

Disponível em: http://bvsms.saude.gov.br. Acesso em: 28 out. 2015



","

As ações de controle iniciarão pelo bairro


",I,II,III,IV,V,A,
16,158,"







","

Nessa disposição, o número que está representado na figura é


",46 171.,147 016,171 064.,460 171.,610 741.,D,enem-data/enem-2016/158-images/context_img_0.png
17,160,"








Considere que o padrão apresentado no resultado do exame, no período analisado, se repita para os dias subsequentes.


","

O valor do parâmetro estabelecido pelo nutricionista, para uma dieta semanal, será igual a


",28,21,2,7,14,E,enem-data/enem-2016/160-images/context_img_0.png
18,159,"







","

Considere 1,4 e 1,7 como aproximações para √2 e √3 , respectivamente.
Para que seja atingido o seu objetivo, qual dos exemplares de serra copo o marceneiro deverá escolher?


",I,II,III,IV,V,B,enem-data/enem-2016/159-images/context_img_0.png
19,163,"







","

Em qual intervalo de tempo, em minuto, o reservatório tem uma vazão constante de enchimento?


",De 0 a 10.,De 5 a 10.,De 5 a 15.,De 15 a 25.,De 0 a 25.,B,enem-data/enem-2016/163-images/context_img_0.png
20,167,"








Avaliando os resultados, o conselho diretor da empresa decidiu comprar, nos dois meses subsequentes, a mesma quantidade de matéria-prima comprada no mês em que o lucro mais se aproximou da média dos lucros mensais dessa empresa nesse período de sete meses.


","

Nos próximos dois meses, essa empresa deverá comprar a mesma quantidade de matéria-prima comprada no mês


",I,II,IV,V,VII,D,enem-data/enem-2016/167-images/context_img_0.png
21,165,"







","

A família pretende que esse imóvel tenha a mesma distância de percurso até o local de trabalho da mãe, localizado na rua 6 com a rua E, o consultório do pai, na rua 2 com a rua E, e a escola das crianças, na rua 4 com a rua A.
Com base nesses dados, o imóvel que atende as pretensões da família deverá ser localizado no encontro das ruas


",3 e C,4 e C,4 e D,4 e E,5 e C,C,enem-data/enem-2016/165-images/context_img_0.png
22,169,"








Como o motorista conhece o percurso, sabe que existem, até a chegada a seu destino, cinco postos de abastecimento de combustível, localizados a 150 km, 187 km, 450 km, 500 km e 570 km do ponto de partida.


","

Qual a máxima distância, em quilômetro, que poderá percorrer até ser necessário reabastecer o veículo, de modo a não ficar sem combustível na estrada?


",570,500,450,187,150,B,enem-data/enem-2016/169-images/context_img_0.png
23,166,"







","

Para satisfazer o filho mais novo, esse senhor precisa encontrar um terreno retangular cujas medidas, em metro, do comprimento e da largura sejam iguais, respectivamente, a


","7,5 e 14,5.","9,0 e 16,0.","9,3 e 16,3.","10,0 e 17,0.","13,5 e 20,5.",B,enem-data/enem-2016/166-images/context_img_0.png
24,171,"








Estudos de viabilidade técnica mostraram que, pelas características do solo, a construção de 1 m de galeria via segmento de reta demora 1,0 h, enquanto que 1 m de construção de galeria via semicircunferência demora 0,6 h. Há urgência em disponibilizar água para esse bairro.
Use 3 como aproximação para π e 1,4 como aproximação para √2 .


","

O menor tempo possível, em hora, para conclusão da construção da galeria, para atender às necessidades de água do bairro, é de


",1 260.,2 520.,2 800.,3 600.,4 000.,B,enem-data/enem-2016/171-images/context_img_0.png
25,175,"







","

Utilize 3 como aproximação para π.
O número mínimo de viagens que o caminhão precisará fazer para transportar todo o volume de grãos armazenados no silo é


",6,16,17,18,21,D,enem-data/enem-2016/175-images/context_img_0.png
26,153,"


Para cadastrar-se em um site, uma pessoa precisa escolher uma senha composta por quatro caracteres, sendo dois algarismos e duas letras (maiúsculas ou minúsculas). As letras e os algarismos podem estar em qualquer posição. Essa pessoa sabe que o alfabeto é composto por vinte e seis letras e que uma letra maiúscula difere da minúscula em uma senha.

Disponível em: www.infowester.com. Acesso em: 14 dez. 2012.



","

O número total de senhas possíveis para o cadastramento nesse site é dado por


",enem-data/enem-2016/153-images/alt_img_0.png,enem-data/enem-2016/153-images/alt_img_1.png,enem-data/enem-2016/153-images/alt_img_2.png,enem-data/enem-2016/153-images/alt_img_3.png,enem-data/enem-2016/153-images/alt_img_4.png,E,
27,174,"








sendo E a energia, em kWh, liberada pelo terremoto e E0 uma constante real positiva. Considere que E1 e E2 representam as energias liberadas nos terremotos ocorridos no Japão e na China, respectivamente.


","

Qual a relação entre E1 e E2?


",E1 = E2 + 2,E1 = 10².E2,E1 = 10³.E2,E1 = 109/7.E2,E1 = 9/7.E2,C,enem-data/enem-2016/174-images/context_img_0.png
28,177,"







","

Não habituado com a unidade pé, e querendo satisfazer sua curiosidade, esse turista consultou um manual de unidades de medidas e constatou que 1 pé equivale a 12 polegadas, e que 1 polegada equivale a 2,54 cm. Após alguns cálculos de conversão, o turista ficou surpreendido com o resultado obtido em metros.
Qual a medida que mais se aproxima do diâmetro da Roda do Milênio, em metro?


",53,94,113,135,145,D,enem-data/enem-2016/177-images/context_img_0.png
29,180,"







","

Qual deve ser o lucro mínimo da empresa no mês de junho, em milhares de reais, para o gerente continuar no cargo no próximo semestre?


",26,29,30,31,35,E,enem-data/enem-2016/180-images/context_img_0.png
30,172,"







","

A projeção ortogonal, no plano α, do caminho traçado no globo pode ser representada por


",enem-data/enem-2016/172-images/alt_img_0.png,enem-data/enem-2016/172-images/alt_img_1.png,enem-data/enem-2016/172-images/alt_img_2.png,enem-data/enem-2016/172-images/alt_img_3.png,enem-data/enem-2016/172-images/alt_img_4.png,E,enem-data/enem-2016/172-images/context_img_0.png
31,178,"







","

Qual é o esboço obtido pelos alunos?


",enem-data/enem-2016/178-images/alt_img_0.png,enem-data/enem-2016/178-images/alt_img_1.png,enem-data/enem-2016/178-images/alt_img_2.png,enem-data/enem-2016/178-images/alt_img_3.png,enem-data/enem-2016/178-images/alt_img_4.png,C,enem-data/enem-2016/178-images/context_img_0.png
