,context,question,A,B,C,D,E,answer
10,"


Dados recentes mostram que muitos são os países periféricos que dependem dos recursos enviados pelos imigrantes que estão nos países centrais. Grande parte dos países da América Latina, por exemplo, depende hoje das remessas de seus imigrantes. Para se ter uma ideia mais concreta, recentes dados divulgados pela ONU revelaram que somente os indianos recebem 10 bilhões de dólares de seus compatriotas no exterior. No México, segundo maior volume de divisas, esse valor chega a 9,9 bilhões de dólares e nas Filipinas, o terceiro, a 8,4 bilhões.

HAESBAERT, R.; PORTO-GONÇALVES, C. W. A nova des-ordem mundial. São Paulo: Edunesp, 2006.



","

Um aspecto do mundo globalizado que facilitou a ocorrência do processo descrito, na transição do século XX para o século XXI, foi o(a)


",integração de culturas distintas.,avanço técnico das comunicações.,quebra de barreiras alfandegárias.,flexibilização de regras trabalhistas.,desconcentração espacial da produção.,B
11,"


TEXTO I
Documentos do século XVI algumas vezes se referem aos habitantes indígenas Como “os brasis” ou “gente brasília” e, ocasionalmente no século XVII, o termo “brasileiro” era a eles aplicado, mas as referências ao status econômico e jurídico desses eram muito mais populares. Assim, os termos “negro da terra” e “índios” eram utilizados com mais frequência do que qualquer outro.

SCHWARTZ, S. B. Gente da terra braziliense da nação. Pensando o Brasil a Construção de um povo. In: MOTA, C. G. (Org.) Viagem incompleta a experiência brasileira (1500-2000). São Paulo Senac, 2000 (adaptado)





TEXTO II
Índio é um conceito construído no processo de conquista da América pelos europeus. Desinteressados pela diversidade cultural, imbuídos de forte preconceito para com o outro, o indivíduo de outras culturas, espanhóis, portugueses, franceses e anglo-saxões terminaram por denominar da mesma forma povos tão dispares quanto os tupinambas e os astecas.

SILVA, K. W.; SILVA, M. H. Dicionário de conceitos históricos, São Paulo: Contexto, 2005



","

Ao comparar os textos, as formas de designação dos grupos nativos pelos europeus, durante o período analisado, são reveladoras da


","concepção idealizada do território, entendido como geograficamente indiferenciado.",percepção corrente de uma ancestralidade comum às populações ameríndias.,compreensão etnocêntrica acerca das populações dos territórios conquistados.,transposição direta das Categorias originadas no imaginário medieval.,visão utópica configurada a partir de fantasias de riqueza.,C
12,"


A promessa da tecnologia moderna se converteu em uma ameaça, ou esta se associou àquela de forma indissolúvel. Ela Vai além da constatação da ameaça física. Concebida para a felicidade humana, a submissão da natureza, na sobremedida de seu sucesso, que agora se estende à própria natureza do homem, conduziu ao maior desafio já posto ao ser humano pela sua própria ação. O novo continente da práxis coletiva que adentramos com a alta tecnologia ainda constitui, para a teoria ética, uma terra de ninguém.

JONAS, H. O princípio da responsabilidade. Rio de Janeiro: Contraponto; Editora PUC-Rio, 2011 (adaptado).



","

As implicações éticas da articulação apresentada no texto impulsionam a necessidade de construção de um novo padrão de comportamento, cujo objetivo consiste em garantir o(a)


",pragmatismo da escolha individual.,sobrevivência de gerações futuras.,fortalecimento de políticas liberais.,valorização de múltiplas etnias.,promoção da inclusão social.,B
13,"


Hoje, a indústria cultural assumiu a herança civilizatória da democracia de pioneiros e empresários, que tampouco desenvolvera uma fineza de sentido para os desvios espirituais. Todos são livres para dançar e para se divertir do mesmo modo que, desde a neutralização histórica da religião, são livres para entrar em qualquer uma das inúmeras seitas. Mas a liberdade de escolha da ideologia, que reflete sempre a coerção econômica, revela-se em todos os setores como a liberdade de escolher o que é sempre a mesma coisa.

ADORNO, T; HORKHEIMER, M. Dialética do esclarecimento: fragmentos filosóficos. Rio de Janeiro; Zahar, 1985



","

A liberdade de escolha na civilização ocidental, de acordo com a análise do texto, é um(a)


",legado social.,patrimônio politico.,produto da moralidade.,conquista da humanidade.,ilusão da contemporaneidade.,E
14,"


Participei de uma entrevista com o músico Renato Teixeira. Certa hora, alguém pediu para listar as diferenças entre a música sertaneja antiga e a atual. A resposta dele surpreendeu a todos: “Não há diferença alguma. A música caipira sempre foi a mesma. É uma música que espelha a vida do homem no campo, e a música não mente. O que mudou não foi a música, mas a vida no campo”. Faz todo sentido: a música caipira de raiz exalava uma solidão, um certo distanciamento do país “moderno”. Exigir o mesmo de uma música feita hoje, num interior conectado, globalizado e rico como o que temos, é impossível. Para o bem ou para o mal, a música reflete seu próprio tempo.

BARCINSKI, A. Mudou a música ou mudaram os caipiras? Folha de São Paulo, 4 jun, 2012 (adaptado)



","

A questão cultural indicada no texto ressalta o seguinte aspecto socioeconômico do atual campo brasileiro


",Crescimento do sistema de produção extensiva,Expansão de atividades das novas ruralidades,Persistência de relações de trabalho compulsório.,Contenção da politica de subsidios agricolas,Fortalecimento do modelo de organização cooperativa,B
15,"


A Operação Condor está diretamente vinculada às experiências históricas das ditaduras civil-militares que se disseminaram pelo Cone Sul entre as décadas de 1960 e 1980. Depois do Brasil (e do Paraguai de Stroessner), foi a vez da Argentina (1966), Bolívia (1966 e 1971), Uruguai e Chile (1973) e Argentina (novamente, em 1976). Em todos os casos se instalaram ditaduras civil-militares (em menor ou maior medida) com base na Doutrina de Segurança Nacional e tendo como principais características um anticomunismo militante, a identificação do inimigo interno, a imposição do papel político das Forças Armadas e a definição de fronteiras ideológicas.

PADRÓS, E. S. et al. Ditadura de Segurança Nacional no Rio Grande do Sul (1964-1985). história e memória. Porto Alegre: Corag, 2009 (adaptado).



","

Levando-se em conta o contexto em que foi criada, a referida operação tinha como objetivo coordenar a


",modificação de limites territoriais.,sobrevivência de oficiais exilados.,interferência de potências mundiais.,repressão de ativistas oposicionistas.,implantação de governos nacionalistas.,D
16,"


O coronelismo era fruto de alteração na relação de forças entre os proprietários rurais e o governo, e significava o fortalecimento do poder do Estado antes que o predomínio do coronel. Nessa concepção, o coronelismo é, então, um sistema político nacional, com base em barganhas entre o governo e os coronéis. O coronel tem o controle dos cargos públicos, desde o delegado de policia até a professora primária. O coronel hipoteca seu apoio ao governo, sobretudo na forma de voto.

CARVALHO, J. M. Pontos e bordados: escritos de história política. Belo Horizonte. Editora UFMG, 1998 (adaptado)



","

No contexto da Primeira República no Brasil, as relações políticas descritas baseavam-se na


",coação das milícias locais,estagnação da dinâmica urbana,valorização do proselitismo partidário,disseminação de práticas clientelistas,centralização de decisões administrativas.,D
17,"


Ser ou não ser — eis a questão.
Morrer — dormir — Dormir! Talvez sonhar. Aí está o obstáculo!
Os sonhos que hão de vir no sono da morte
Quando tivermos escapado ao tumulto vital
Nos obriguam a hesitar: e é essa a reflexão
Que dá à desventura uma vida tão longa.

SHAKESPEARE, W. Hamlet. Porto Alegre: L&PM, 2007



","

Este solilóquio pode ser considerado um precursor do existencialismo ao enfatizar a tensão entre


",consciência de si e angústia humana.,inevitabilidade do destino e incerteza moral.,tragicidade da personagem e ordem do mundo.,racionalidade argumentativa e loucura iminente.,dependência paterna e impossibilidade de ação.,A
18,"


Pirro afirmava que nada é nobre nem vergonhoso, justo ou injusto, e que, da mesma maneira, nada existe do ponto de vista da verdade, que os homens agem apenas segundo a lei e o costume, nada sendo mais isto do que aquilo. Ele levou uma vida de acordo com esta doutrina, nada procurando evitar e não se desviando do que quer que fosse, suportando tudo, carroças, por exemplo, precipícios, cães, nada deixando ao arbítrio dos sentidos.

LAÉRCIO, D. Vidas e sentenças dos filósofos ilustres. Brasília: Editora UnB, 1988.



","

O ceticismo, conforme sugerido no texto, caracteriza-se por:


",Desprezar quaisquer convenções e obrigações da sociedade.,Atingir o verdadeiro prazer como o princípio e o fim da vida feliz.,Defender a indiferença e a impossibilidade de obter alguma certeza.,Aceitar o determinismo e ocupar-se com a esperança transcendente.,Agir de forma virtuosa e sábia a fim de enaltecer o homem bom e belo.,C
19,"


O conceito de função social da cidade incorpora a organização do espaço físico como fruto da regulação social, isto é, a cidade deve contemplar todos os seus moradores e não somente aqueles que estão no mercado formal da produção capitalista da cidade. A tradição dos códigos de edificação, uso e ocupação do solo no Brasil sempre partiram do pressuposto de que a cidade não tem divisões entre os incluídos e os excluídos socialmente.

QUINTO JR., L. P. Nova legislação urbana e os velhos fantasmas Estudos Avançados (USP), n. 47, 2003 (adaptado).



","

Uma política governamental que contribui para viabilizar a função social da cidade, nos moldes indicados no texto, é a


",qualificação de serviços públicos em bairros periféricos.,implantação de centros comerciais em eixos rodoviários.,proibição de construções residenciais em regiões íngremes.,disseminação de equipamentos culturais em locais turísticos.,desregulamentação do setor imobiliário em áreas favelizadas.,A
20,"


Sentimos que toda satisfação de nossos desejos advinda do mundo assemelha-se à esmola que mantém hoje o mendigo vivo, porém prolonga amanhã a sua fome. A resignação, ao contrário, assemelha-se à fortuna herdada: livra o herdeiro para sempre de todas as preocupações.

SCHOPENHAUER, A. Aforismo para a sabedoria da vida. São Paulo: Martins Fontes, 2005.



","

O trecho destaca uma ideia remanescente de uma tradição filosófica ocidental, segundo a qual a felicidade se mostra indissociavelmente ligada à


",consagração de relacionamentos afetivos.,administração da independência interior.,fugacidade do conhecimento empírico.,liberdade de expressão religiosa.,busca de prazeres efêmeros.,B
21,"


Vi os homens sumirem-se numa grande tristeza. Os melhores cansaram-se das suas obras. Proclamou-se uma doutrina e com ela circulou uma crença: Tudo é oco, tudo é igual, tudo passou! O nosso trabalho foi inútil; o nosso vinho tornou-se veneno; o mau olhado amareleceu-nos os campos e os corações. Secamos de todo, e se caísse fogo em cima de nós, as nossas cinzas voariam em pó. Sim; cansamos o próprio fogo. Todas as fontes secaram para nós, e o mar retirou-se. Todos os solos se querem abrir, mas os abismos não nos querem tragar!

NIETZSCHE, F. Assim falou Zaratustra, Rio de Janeiro. Ediouro, 1977.



","

O texto exprime uma construção alegórica, que traduz um entendimento da doutrina niilista, uma vez que


",reforça a liberdade do cidadão.,desvela os valores do cotidiano.,exorta as relações de produção.,destaca a decadência da cultura.,amplifica o sentimento de ansiedade.,D
22,"


Pois quem seria tão inútil ou indolente a ponto de não desejar saber como e sob que espécie de constituição os romanos conseguiram em menos de cinquenta e três anos submeter quase todo o mundo habitado ao seu governo exclusivo – fato nunca antes ocorrido? Ou, em outras palavras, quem seria tão apaixonadamente devotado a outros espetáculos ou estudos a ponto de considerar qualquer outro objetivo mais importante que a aquisição desse conhecimento?

POLÍBIO. História, Brasília: Editora UnB, 1985.



","

A experiência a que se refere o historiador Políbio, nesse texto escrito no século II a.C., é a


",ampliação do contingente de camponeses livres.,consolidação do poder das falanges hoplitas.,concretização do desígnio imperialista.,adoção do monoteísmo cristão.,libertação do domínio etrusco.,C
23,"


Ser moderno é encontrar-se em um ambiente que promete aventura, poder, alegria, crescimento, autotransformação e transformação das coisas em redor – mas ao mesmo tempo ameaça destruir tudo o que temos, tudo o que sabemos, tudo o que somos. A experiência ambiental da modernidade anula todas as fronteiras geográficas e raciais, de classe e nacionalidade: nesse sentido, pode-se dizer que a modernidade une a espécie humana. Porém, é uma unidade paradoxal, uma unidade de de Sunidade.

BERMAN, M. Tudo que é sólido desmancha no ar: a aventura da modernidade. São Paulo: Cia, das Letras, 1986 (adaptado).



","

O texto apresenta uma interpretação da modernidade que a caracteriza como um(a)


",dinâmica social contraditória.,interação coletiva harmônica.,fenômeno econômico estável.,sistema internacional decadente.,processo histórico homogeneizador.,A
24,"


A sociologia ainda não ultrapassou a era das construções e das sínteses filosóficas. Em vez de assumir a tarefa de lançar luz sobre uma parcela restrita do campo social, ela prefere buscar as brilhantes generalidades em que todas as questões são levantadas sem que nenhuma seja expressamente tratada. Não é com exames sumários e por meio de intuições rápidas que se pode chegar a descobrir as leis de uma realidade tão complexa. Sobretudo, generalizações às vezes tão amplas e tão apressadas não são suscetíveis de nenhum tipo de prova.

DURKHEIM, E. O suicídio: estudo de sociologia. São Paulo: Martins Fontes, 2000.



","

O texto expressa o esforço de Émile Durkheim em construir uma sociologia com base na


",vinculação com a filosofia como saber unificado.,reunião de percepções intuitivas para demonstração.,formulação de hipóteses subjetivas sobre a vida social.,adesão aos padrões de investigação típicos das ciências naturais.,incorporação de um conhecimento alimentado pelo engajamento político.,D
