,number,context,question,A,B,C,D,E,answer,context-images
12,149,"










Disponível em: www.correios.com.br. Acesso em: 2 ago. 2012 (adaptado).



","

O valor total gasto, em reais, para postar essas cartas é de


","8,35","12,50","14,40","15,35","18,05",D,enem-data/enem-2013/149-images/context_img_0.png
13,155,"


Numa escola com 1 200 alunos foi realizada uma pesquisa sobre o conhecimento desses em duas línguas estrangeiras, inglês e espanhol.
Nessa pesquisa constatou-se que 600 alunos falam inglês, 500 falam espanhol e 300 não falam qualquer um desses idiomas.



","

Escolhendo-se um aluno dessa escola ao acaso e sabendo-se que ele não fala inglês, qual a probabilidade de que esse aluno fale espanhol?


",1/2,5/8,1/4,5/6,5/14,A,
14,156,"







","

Utilizando 0,26 como valor aproximado para a tangente de 15° e duas casas decimais nas operações, descobre-se que a área da base desse prédio ocupa na avenida um espaço
 


",menor que 100 m²  ,entre 100 m² e 300 m²  ,entre 300 m² e 500 m²  ,entre 500 m² e 700 m²  ,maior que 700 m²,E,enem-data/enem-2013/156-images/context_img_0.png
15,162,"

Considere 0,3 como aproximação para log10 2.


","

Qual o tempo necessário, em anos, para que uma quantidade de massa do césio-137 se reduza a 10% da quantidade inicial?


",27,36,50,54,100,E,
16,154,"







","

A quantidade total de arroz, em toneladas, que deverá ser produzida no período de 2012 a 2021 será de


","497,25.","500,85.","502,87.","558,75.","563,25.",D,enem-data/enem-2013/154-images/context_img_0.png
17,163,"


Nos Estados Unidos a unidade de medida de volume mais utilizada em latas de refrigerante é a onça fluida (fl oz), que equivale a aproximadamente 2,95 centilitros (cL).
Sabe-se que o centilitro é a centésima parte do litro e que a lata de refrigerante usualmente comercializada no Brasil tem capacidade de 355 mL.



","

Assim, a medida do volume da lata de refrigerante de 355 mL, em onça fluida (fl oz), é mais próxima de


","0,83","1,20","12,03","104,73","120,34",C,
18,157,"







","

Utilizando um novo critério, essa banca avaliadora resolveu descartar a maior e a menor notas atribuídas ao professor. A nova média, em relação à média anterior, é
 


","0,25 ponto maior.  ","1,00 ponto maior.  ","1,00 ponto menor.  ","1,25 ponto maior.  ","2,00 pontos menor.",B,enem-data/enem-2013/157-images/context_img_0.png
19,166,"


O ciclo de atividade magnética do Sol tem um período de 11 anos. O início do primeiro ciclo registrado se deu no começo de 1755 e se estendeu até o final de 1765. Desde então, todos os ciclos de atividade magnética do Sol têm sido registrados.

Disponível em: http://g1.globo.com. Acesso em: 27 fev. 2013.



","

No ano de 2101, o Sol estará no ciclo de atividade magnética de número


",32,34,33,35,31,A,
20,137,"


Muitos processos fisiológicos e bioquímicos, tais como batimentos cardíacos e taxa de respiração, apresentam escalas construídas a partir da relação entre superfície e massa (ou volume) do animal. Uma dessas escalas, por exemplo, considera que “o cubo da área S da superfície de um mamífero é proporcional ao quadrado de sua massa M”.

HUGHES-HALLETT, D. et al. Cálculo e aplicações. São Paulo: Edgard Blücher, 1999 (adaptado).



","

Isso é equivalente a dizer que, para uma constante k > 0, a área S pode ser escrita em função de M por meio da expressão:


",enem-data/enem-2013/137-images/alt_img_0.png,enem-data/enem-2013/137-images/alt_img_1.png,enem-data/enem-2013/137-images/alt_img_2.png,enem-data/enem-2013/137-images/alt_img_3.png,enem-data/enem-2013/137-images/alt_img_4.png,D,
21,167,"









Há interesse em estimar o número de vezes que foi ampliada a área correspondente a esse estado no mapa do Brasil.

 
 



","

Esse número é


",menor que 10.,maior que 10 e menor que 20.,maior que 20 e menor que 30.,maior que 30 e menor que 40.,maior que 40.,D,enem-data/enem-2013/167-images/context_img_0.png
22,169,"









Nela identifica-se a representação de duas figuras geométricas tridimensionais.



","

Essas figuras são


",um tronco de cone e um cilindro.,um cone e um cilindro.,um tronco de pirâmide e um cilindro.,dois troncos de cone.,dois cilindros.,D,enem-data/enem-2013/169-images/context_img_0.png
23,168,"









A torre deve estar situada em um local equidistante das três antenas.



","

O local adequado para a construção dessa torre corresponde ao ponto de coordenadas


",(65 ; 35).,(53 ; 30).,(45 ; 35).,(50 ; 20).,(50 ; 30).,E,enem-data/enem-2013/168-images/context_img_0.png
24,165,"


A temperatura T de um forno (em graus centígrados) é reduzida por um sistema a partir do instante de seu desligamento (t = 0) e varia de acordo com a expressão com t em minutos. Por motivos de segurança, a trava do forno só é liberada para
abertura quando o forno atinge a temperatura de 39 ºC.
 
 



","

Qual o tempo mínimo de espera, em minutos, após se desligar o forno, para que a porta possa ser aberta?


","19,0","19,8","20,0","38,0","39,0",D,enem-data/enem-2013/165-images/context_img_0.png
25,174,"



Disponível em: www.arq.ufsc.br. Acesso em: 3 mar. 2012.




Suponha que uma peça, quando moldada em argila, possuía uma base retangular cujos lados mediam 30 cm e 15 cm. Após o cozimento, esses lados foram reduzidos em 20%.


","

Em relação à área original, a área da base dessa peça, após o cozimento, ficou reduzida em


",4%,20%,36%,64%,96%,C,
26,170,"







","

Dos países com notas abaixo da média nesse exame, aquele que apresenta maior quantidade de horas de estudo é


",Finlândia.,Holanda.,Israel.,México.,Rússia.,C,enem-data/enem-2013/170-images/context_img_0.png
27,161,"







","

Com base nas informações fornecidas, quantas joias diferentes, nesse formato, o artesão poderá obter?


",6,12,18,24,36,B,enem-data/enem-2013/161-images/context_img_0.png
28,142,"


Durante uma aula de Matemática, o professor sugere aos alunos que seja fixado um sistema de coordenadas cartesianas (x, y) e representa na lousa a descrição de cinco conjuntos algébricos, I, II, III, IV e V, como se segue:
I — é a circunferência de equação x2 + y2 = 9;
II — é a parábola de equação y = − x2 − 1, com x variando de −1 a 1;
III — é o quadrado formado pelos vértices (−2, 1), (−1, 1), (−1, 2) e (−2, 2);
IV — é o quadrado formado pelos vértices (1, 1), (2, 1), (2, 2) e (1, 2);
V — é o ponto (0, 0).
A seguir, o professor representa corretamente os cinco conjuntos sobre uma mesma malha quadriculada, composta de quadrados com lados medindo uma unidade de comprimento, cada, obtendo uma figura.



","

Qual destas figuras foi desenhada pelo professor?


",enem-data/enem-2013/142-images/alt_img_0.png,enem-data/enem-2013/142-images/alt_img_1.png,enem-data/enem-2013/142-images/alt_img_2.png,enem-data/enem-2013/142-images/alt_img_3.png,enem-data/enem-2013/142-images/alt_img_4.png,E,
29,172,"







","

Qual deve ser o valor do comprimento da haste EF?


",1 m,2 m,"2,4 m",3 m,2√6 m,C,enem-data/enem-2013/172-images/context_img_0.png
30,171,"







","

Considere que AC = 7/5 BD e que l é a medida de um dos lados da base da bandeja.
Qual deve ser o menor valor da razão lBD para que uma bandeja tenha capacidade de portar exatamente quatro copos de uma só vez?


",2,14/5,4,24/5,28/5,D,enem-data/enem-2013/171-images/context_img_0.png
31,175,"







","

O desempenho conjunto dessas máquinas, em setembro, pode ser classificado como


",excelente.,bom.,regular.,ruim.,péssimo.,B,enem-data/enem-2013/175-images/context_img_0.png
32,176,"









Cinco apostadores, cada um com R$ 500,00 para apostar, fizeram as seguintes opções:
Arthur: 250 cartelas com 6 números escolhidos;
Bruno: 41 cartelas com 7 números escolhidos e 4 cartelas com 6 números escolhidos;
Caio: 12 cartelas com 8 números escolhidos e 10 cartelas com 6 números escolhidos;
Douglas: 4 cartelas com 9 números escolhidos;
Eduardo: 2 cartelas com 10 números escolhidos.



","

Os dois apostadores com maiores probabilidades de serem premiados são


",Caio e Eduardo.,Arthur e Eduardo.,Bruno e Caio.,Arthur e Bruno.,Douglas e Eduardo.,A,enem-data/enem-2013/176-images/context_img_0.png
33,178,"







","

Utilize 1,7 como aproximação para √3
O valor de R, em centímetros, é igual a


","64,0","65,5","74,0","81,0","91,0",C,enem-data/enem-2013/178-images/context_img_0.png
34,177,"







","

Os tipos de arroz, feijão, soja e milho que devem ser escolhidos pelo comerciante são, respectivamente,


","A, A, A, A. ","A, B, A, B.  ","A, B, B, A. ","B, A, A, B.  ","B, B, B, B.",D,enem-data/enem-2013/177-images/context_img_0.png
35,179,"







","

Após a análise dos dados, o produtor avaliou que a vaca mais eficiente é a


",Malhada,Mamona,Maravilha,Mateira,Mimosa,D,enem-data/enem-2013/179-images/context_img_0.png
36,180,"







","

Quantos quilômetros esse aluno percorreu na fase de implantação do programa?


",4,8,16,20,40,E,enem-data/enem-2013/180-images/context_img_0.png
37,138,"









onde m1 e m2 correspondem às massas dos corpos, d à distância entre eles, G à constante universal da gravitação e F à força que um corpo exerce sobre o outro.
O esquema representa as trajetórias circulares de cinco satélites, de mesma massa, orbitando a Terra.










","

Qual gráfico expressa as intensidades das forças que a Terra exerce sobre cada satélite em função do tempo?


",enem-data/enem-2013/138-images/alt_img_0.png,enem-data/enem-2013/138-images/alt_img_1.png,enem-data/enem-2013/138-images/alt_img_2.png,enem-data/enem-2013/138-images/alt_img_3.png,enem-data/enem-2013/138-images/alt_img_4.png,B,"enem-data/enem-2013/138-images/context_img_0.png,enem-data/enem-2013/138-images/context_img_1.png"
38,160,"







","

A imagem que representa a nova figura é:


",enem-data/enem-2013/160-images/alt_img_0.png,enem-data/enem-2013/160-images/alt_img_1.png,enem-data/enem-2013/160-images/alt_img_2.png,enem-data/enem-2013/160-images/alt_img_3.png,enem-data/enem-2013/160-images/alt_img_4.png,E,enem-data/enem-2013/160-images/context_img_0.png
